BrightMlsId,CityName,FullStreetAddress,OldMapCoordinates,AgeRequirement,AltOfficeCode,AssessmentYear,BasementAreaFinished,BasementAreaUnfinished,Baths,BathsFull,BathsHalf,BodyOfWater,DomProperty,HOA,HighSchool,ListOfficeCode,ListOfficeAddress,ListingID,NameOfRental,PetsAllowedFlag,PotentialLivestock,TaxYear,TotalTaxes,PostalCode,YearBuilt
1004462195,WASHINGTON,4100 W ST NW #412,GOOGLE MAP,,,2017,,,1,1,0,,143,TRUE,,WOWR1,80 M ST SE STE#,DC10134867,,,,2017,2434.82,20007,1950
1004553243,WASHINGTON,240 M ST SW #E411,0,,,,,,1,1,0,,78,FALSE,,CENT2032,1000 PENNSYLVANIA AVE SE,DC10138120,,TRUE,,,,20024,1967
1004506497,WASHINGTON,510 N ST SW #N330,GOOGLE,,,2017,,,1,1,0,,79,FALSE,,LNG1,4650 EAST WEST HWY,DC10137528,,,,2017,612074.02,20024,1966
1004466823,WASHINGTON,4117 48TH ST NW,GOOGLE,,WFP1,2017,,,5,5,0,,81,FALSE,,WFP1,3201 NEW MEXICO AVE NW STE 220,DC10135152,,,,2017,11374.52,20016,1967
1004472217,WASHINGTON,5004 KLINGLE ST NW,8 K8,,,2017,,,4,3,1,,58,FALSE,WILSON,1-Mar,6663 OLD DOMINION DR,DC10135498,,,,2017,8654.96,20016,1948
1004467145,WASHINGTON,1717 STANTON TER SE,0,,,,600,,3,2,1,,21,FALSE,,SENR1,909 U ST NW,DC10135245,,,,,,20020,2005
1004473947,WASHINGTON,3211 WISCONSIN AVE NW #102,0,,,,,,2,1,1,,81,FALSE,,MCWB1,1029 N ROYAL ST,DC10135930,,,,,,20016,2017
1004473373,WASHINGTON,4306 17TH ST NW,?,,,,630,210,4,4,0,,81,FALSE,,KWCP5,4646 40TH ST NW,DC10135775,,TRUE,,,,20011,1938
1004473507,WASHINGTON,3101 NEW MEXICO AVE NW #533,GOOGLE,,WFP1,2016,,,2,2,0,,120,FALSE,,WFP1,3201 NEW MEXICO AVE NW STE 220,DC10135816,,,,2016,4263.68,20016,1979
1004478141,WASHINGTON,2320 WISCONSIN AVE NW #315,.,,,,,,1,1,0,,78,TRUE,,FEDRT1,1911 FORT MYER UNDEF FL 300,DC10136152,,FALSE,,,,20007,1984
1004472987,WASHINGTON,731 18TH ST NE,0,,,2017,,,1,1,0,,81,FALSE,,DRPL1,1012 FLORIDA AVE NE,DC10135666,,,,2017,11885.74,20002,1911
1004473955,WASHINGTON,1721 21ST ST NW #202,69,,,2017,,,2,2,0,,81,FALSE,,BUYL1,1327 14TH ST NW STE 040,DC10135934,,,,2017,5683.86,20009,1908
1004478375,WASHINGTON,5515 CHILLUM PL NE,N/A,,RMAX20,2017,540,0,3,2,1,,78,FALSE,COOLIDGE,RMAX20,220 7TH ST SE,DC10136204,,,,2017,2435.08,20011,1951
1004478047,WASHINGTON,2310 ASHMEAD PL NW #102,0,,,,,,1,1,0,,80,FALSE,,RPA1,4624 WISCONSIN AVE NW,DC10136121,,FALSE,,,,20009,1921
1004504491,WASHINGTON,1341 CLIFTON ST NW #102,015-E,,,,,,1,1,0,,79,FALSE,,SENR1,909 U ST NW,DC10136984,,TRUE,,,,20009,1966
1004479523,WASHINGTON,2809 26TH ST NE,X1,,,2017,,,2,2,0,,9,FALSE,,LNG36,3901 NATIONAL DR STE# 170,DC10136568,,,,2017,2764.2,20018,1922
